veh,logfile,line,date,time,secs,speed (mph),long,lat,x-ft,y-ft
C590,1,100445,4/20/2009,18:21:50,18733,40.9,-58.357212000000004,33.472388,-22509847,15478610
C832,1,39138,4/20/2009,18:21:50,17899,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46655,4/20/2009,18:21:50,19029,38.9,-58.53217600000001,33.493381,-22556342,15486267
C590,1,100447,4/20/2009,18:21:51,18734,41.6,-58.357219,33.472556,-22509843,15478671
C832,1,39139,4/20/2009,18:21:51,17900,0.0,-58.475849999999994,33.488627,-22541302,15484533
C548,1,46656,4/20/2009,18:21:51,19030,40.0,-58.53196700000001,33.493336,-22556287,15486250
C590,1,100532,4/20/2009,18:21:52,18735,41.8,-58.35722700000001,33.472725,-22509839,15478733
C832,1,39140,4/20/2009,18:21:52,17901,2.7,-58.475851000000006,33.488625,-22541302,15484532
C548,1,46657,4/20/2009,18:21:52,19031,40.7,-58.531756,33.493291,-22556231,15486234
C590,1,100534,4/20/2009,18:21:53,18736,42.3,-58.35723399999999,33.472896,-22509835,15478796
C832,1,39145,4/20/2009,18:21:53,17902,8.3,-58.475852,33.488642999999996,-22541302,15484539
C548,1,46658,4/20/2009,18:21:53,19032,40.3,-58.531543,33.493244,-22556176,15486217
C590,1,100857,4/20/2009,18:21:54,18737,42.7,-58.357242,33.473068,-22509831,15478858
C832,1,39146,4/20/2009,18:21:54,17903,13.2,-58.475853,33.488684,-22541301,15484554
C548,1,46659,4/20/2009,18:21:54,19033,40.5,-58.53133100000001,33.493199,-22556120,15486200
C590,1,100861,4/20/2009,18:21:55,18738,42.7,-58.35724999999999,33.473240999999994,-22509827,15478921
C832,1,39147,4/20/2009,18:21:55,17904,17.0,-58.47585500000001,33.488743,-22541299,15484575
C548,1,46660,4/20/2009,18:21:55,19034,40.5,-58.53111899999999,33.493153,-22556064,15486183
C590,1,100872,4/20/2009,18:21:56,18739,42.7,-58.357258,33.473414,-22509823,15478984
C832,1,39148,4/20/2009,18:21:56,17905,20.1,-58.475859,33.488818,-22541298,15484603
C548,1,46661,4/20/2009,18:21:56,19035,40.0,-58.530908,33.493106,-22556009,15486166
C590,1,100874,4/20/2009,18:21:57,18740,42.7,-58.35726700000001,33.473588,-22509819,15479048
C832,1,39609,4/20/2009,18:21:57,17906,23.3,-58.475862000000006,33.488907,-22541295,15484635
C548,1,46662,4/20/2009,18:21:57,19036,40.3,-58.530698,33.49306,-22555954,15486150
C590,1,100876,4/20/2009,18:21:58,18741,43.0,-58.357276,33.473762,-22509815,15479111
C832,1,39615,4/20/2009,18:21:58,17907,26.2,-58.475865999999996,33.489007,-22541293,15484671
C548,1,46667,4/20/2009,18:21:58,19037,40.3,-58.530489,33.493015,-22555899,15486133
C590,1,100878,4/20/2009,18:21:59,18742,43.4,-58.357285000000005,33.473939,-22509811,15479176
C832,1,39616,4/20/2009,18:21:59,17908,29.1,-58.47586899999999,33.489119,-22541290,15484712
C548,1,46668,4/20/2009,18:21:59,19038,40.3,-58.53027900000001,33.492968,-22555844,15486116
